state_name,Year,Month,Source,Serotype_Species,sst,sss,Number_of_isolates,region
Texas,2021,6,Blood,vulnificus/Ctx-,28.278554892857144,33.55932575,1.0,Gulf
Texas,2021,6,Other,vulnificus,28.278554892857144,33.55932575,1.0,Gulf
Texas,2021,6,Other,vulnificus/Ctx-,28.278554892857144,33.55932575,2.0,Gulf
Texas,2021,7,Blood,vulnificus,29.080719386904764,33.08992205952381,2.0,Gulf
Texas,2021,7,Blood,vulnificus/Ctx-,29.080719386904764,33.08992205952381,4.0,Gulf
Texas,2022,4,Blood,vulnificus/Ctx-,22.925394392857143,35.369106208333335,1.0,Gulf
Texas,2022,5,Blood,vulnificus/Ctx-,26.502441779761902,34.292956613095235,1.0,Gulf
Texas,2022,7,Other,vulnificus/Ctx-,29.653036916666668,35.45198964285714,1.0,Gulf
Texas,2022,9,Blood,vulnificus/Ctx-,29.525531130952384,35.838831029761906,1.0,Gulf
Texas,2022,10,Other,vulnificus/Ctx-,27.464836130952374,35.69160170833333,1.0,Gulf
Texas,2023,3,Blood,vulnificus/Ctx-,22.521606625,35.84281141071428,2.0,Gulf
Texas,2023,5,Blood,vulnificus/Ctx-,25.997535851190477,34.89028180952381,1.0,Gulf
Texas,2023,6,Blood,vulnificus/Ctx-,28.775545011904764,34.35537810119048,1.0,Gulf
Texas,2023,6,Other,vulnificus/Ctx-,28.775545011904764,34.35537810119048,1.0,Gulf
Texas,2023,7,Blood,vulnificus/Ctx-,30.041499,35.66534721428572,2.0,Gulf
Texas,2023,7,Other,vulnificus/Ctx-,30.041499,35.66534721428572,2.0,Gulf
Texas,2023,8,Blood,vulnificus/Ctx-,30.51040642857143,35.99620745238095,1.0,Gulf
Texas,2023,9,Blood,vulnificus/Ctx-,30.268917958333333,35.97062769642857,1.0,Gulf
Texas,2023,9,Other,vulnificus/Ctx-,30.268917958333333,35.97062769642857,1.0,Gulf
Texas,2023,10,Blood,vulnificus/Ctx-,28.312428345238096,36.19633270238095,1.0,Gulf
Virginia,2020,6,Blood,vulnificus/Ctx-,20.73942857142857,34.01429642857143,7.0,East
Virginia,2020,6,Other,vulnificus/Ctx-,20.73942857142857,34.01429642857143,2.0,East
Virginia,2020,7,Other,vulnificus/Ctx-,26.84119771428572,33.62395685714286,1.0,East
Virginia,2020,8,Blood,vulnificus/Ctx-,25.46405457142857,33.583206,2.0,East
Virginia,2020,8,Other,vulnificus/Ctx-,25.46405457142857,33.583206,2.0,East
Virginia,2020,9,Blood,vulnificus/Ctx-,24.027142285714287,33.708637857142854,2.0,East
Virginia,2020,9,Other,vulnificus/Ctx-,24.027142285714287,33.708637857142854,2.0,East
Virginia,2021,5,Blood,vulnificus/Ctx-,16.538386714285714,34.280086,1.0,East
Virginia,2021,6,Other,vulnificus/Ctx-,22.194523142857143,33.73326214285714,3.0,East
Virginia,2021,7,Blood,vulnificus/Ctx-,24.78156614285714,33.19659457142857,3.0,East
Virginia,2021,8,Blood,vulnificus/Ctx-,26.607419142857143,33.44534328571429,2.0,East
Virginia,2021,9,Other,vulnificus/Ctx-,24.309952000000003,33.76308228571428,1.0,East
Virginia,2022,6,Other,vulnificus/Ctx-,22.406333142857143,33.88546957142857,1.0,East
Virginia,2022,7,Blood,vulnificus,25.42875557142857,33.303690714285715,1.0,East
Virginia,2022,7,Blood,vulnificus/Ctx-,25.42875557142857,33.303690714285715,2.0,East
Virginia,2022,8,Blood,vulnificus/Ctx-,25.273963142857145,32.907207285714286,1.0,East
Virginia,2022,8,Other,vulnificus/Ctx-,25.273963142857145,32.907207285714286,2.0,East
Virginia,2023,5,Blood,vulnificus/Ctx-,16.47774157142857,33.993515,1.0,East
Virginia,2023,6,Stool,vulnificus/Ctx-,20.08776142857143,34.034250285714286,1.0,East
Virginia,2023,7,Blood,vulnificus/Ctx-,26.229262142857145,33.700263428571425,2.0,East
Virginia,2023,8,Blood,vulnificus/Ctx-,25.829353857142856,34.11986342857143,1.0,East
Virginia,2023,8,Other,vulnificus/Ctx-,25.829353857142856,34.11986342857143,1.0,East
Virginia,2023,10,Other,vulnificus/Ctx-,19.815759857142854,34.058384857142855,1.0,East
